station_name;file_name;check_dimension;issue_type;variable;timestamp;timestamp_start;timestamp_end;duration_minutes;detail;missing_count;event_count;severity;recommended_action
PonteBoga;PonteBoga_08_01_2026.csv;pipeline;stale_processed_file;;;;;;Processed file analysis date is 2026-01-08, but expected analysis date is 2026-03-24.;;;HIGH;review_required
PonteBoga;PonteBoga_08_01_2026.csv;completeness;temporal_gap;;;2026-01-07 22:00:00;2026-01-07 22:00:00;;Missing 1 record at 2026-01-07 22:00:00.;1.0;;MEDIUM;review_required
PonteBoga;PonteBoga_08_01_2026.csv;completeness;temporal_gap;;;2026-01-08 01:20:00;2026-01-08 01:40:00;;Missing 3 records from 2026-01-08 01:20:00 to 2026-01-08 01:40:00.;3.0;;MEDIUM;review_required
PonteBoga;PonteBoga_08_01_2026.csv;completeness;missing_expected_day;;;;;;Expected day 2026-01-09 is missing from the dataset.;;;HIGH;review_required
PonteBoga;PonteBoga_08_01_2026.csv;completeness;missing_analysis_start;;2026-01-07 18:00:00;;;;Dataset starts at 2026-01-07 18:30:00, later than expected start 2026-01-07 18:00:00.;;;HIGH;review_required
PonteBoga;PonteBoga_08_01_2026.csv;completeness;missing_next_day_data;;;;;;No records found for day after analysis date 2026-01-09.;;;HIGH;review_required
PonteBoga;PonteBoga_08_01_2026.csv;temporal;abrupt_change;Temperatura  a 1.5m(ºC);2026-01-08 12:20:00;;;;Abrupt change detected in 'temp_c'. Observed absolute change: 13.57. Threshold: 5.00.;;;MEDIUM;monitor
PonteBoga;PonteBoga_08_01_2026.csv;temporal;abrupt_change;Temperatura  a 1.5m(ºC);2026-01-08 12:30:00;;;;Abrupt change detected in 'temp_c'. Observed absolute change: 13.52. Threshold: 5.00.;;;MEDIUM;monitor
PonteBoga;PonteBoga_08_01_2026.csv;temporal;constant_value_persistence;Temperatura  a 1.5m(ºC);;2026-01-07 23:30:00;2026-01-08 03:50:00;;Constant value persistence detected in 'temp_c'. Value 7.7 repeated for 24 consecutive records. Threshold: 6.;;24.0;MEDIUM;monitor
PonteBoga;PonteBoga_08_01_2026.csv;temporal;isolated_spike;Temperatura  a 1.5m(ºC);2026-01-08 12:20:00;;;;Isolated spike detected in 'temp_c'. Value differs strongly from both neighboring timestamps. Threshold: 6.;;;LOW;monitor
